approach,sample_size,repetition,trace_variants,deviating_traces,total_deviations,num_deviating_activities,fitness,time_partitioning,time_sampling,time_alignments
Feature;100;0;97;28;60;8;0.9915314043754411;83.54758143424988;10.25633955001831;92.58805584907532
Feature;100;1;93;31;63;8;0.9905660377358491;84.65050005912781;13.032023668289185;75.53148865699768
Feature;100;2;98;33;88;9;0.9890886546807192;84.77455925941467;14.157936096191406;384.6951994895935
Feature;100;3;94;26;49;9;0.9926821983273596;85.59510159492493;12.057138204574585;53.220006465911865
Feature;100;4;93;17;52;8;0.9928737837467453;84.98545503616333;12.63808274269104;904.9468472003937
Feature;100;5;90;10;15;9;0.9973674973674974;85.21397113800049;10.907294273376465;36.25665640830994
Feature;100;6;86;7;17;5;0.997057296174485;84.12589454650879;12.852312326431274;40.58705949783325
Feature;100;7;98;31;72;9;0.9896118886163613;84.42399787902832;11.708662986755371;98.69769716262817
Feature;100;8;93;31;72;10;0.9898290719028111;84.58935594558716;9.164032220840454;97.3320107460022
Feature;100;9;95;31;74;9;0.9901687259200213;84.45677375793457;11.519747734069824;114.00235629081726
Feature;200;0;196;65;155;11;0.9906615254849982;84.49118709564209;35.84521985054016;874.4782748222351
Feature;200;1;195;66;148;14;0.9901628447989366;84.86163520812988;36.01813840866089;219.7011969089508
Feature;200;2;191;58;155;7;0.9916867792973988;87.44803595542908;40.3085618019104;3112.287271261215
Feature;200;3;188;47;117;8;0.9919989058332763;84.9727852344513;40.50863194465637;392.0931408405304
Feature;200;4;192;65;136;8;0.9904454123928622;85.04101085662842;35.814181089401245;550.8878943920135
Feature;200;5;192;63;129;8;0.9910683376029911;84.98170781135559;37.52905082702637;332.01744842529297
Feature;200;6;189;44;91;11;0.9927153378162024;84.58822083473206;51.14461159706116;138.48856496810913
Feature;200;7;191;58;141;11;0.9906653426017875;85.22393870353699;27.54084300994873;161.64821887016296
Feature;200;8;192;66;154;9;0.9901597444089457;85.73546767234802;36.254294872283936;344.47592401504517
Feature;200;9;190;58;114;10;0.9919605077574047;85.33075618743896;45.02212142944336;125.88854146003723
Feature;300;0;278;95;234;11;0.989538626609442;85.31919646263123;75.11742496490479;448.7680068016052
Feature;300;1;278;108;257;12;0.988768955119521;87.83907341957092;63.94524025917053;337.1715877056122
Feature;300;2;286;91;216;9;0.9898975726111968;84.69027256965637;101.05394649505615;275.2529652118683
Feature;300;3;279;95;224;12;0.9893419612694485;85.19182968139648;70.55352330207825;251.13356113433838
Feature;300;4;282;88;224;12;0.9897091928148114;84.79813241958618;99.43482780456543;289.46504616737366
Feature;300;5;285;104;262;13;0.9895120291421481;87.80615830421448;72.55082631111145;19288.544228315353
Feature;300;6;280;82;210;12;0.9906187178914452;79.78784728050232;75.06476545333862;603.3648045063019
Feature;300;7;281;90;200;10;0.9910382219832414;79.63955307006836;82.78287982940674;1308.7146379947662
Feature;300;8;285;96;256;11;0.9900771347726656;79.72923231124878;65.7099997997284;393.3500690460205
Feature;300;9;284;95;240;12;0.9904450991320966;79.71202993392944;78.32544493675232;767.428450345993
Feature;400;0;369;135;334;11;0.9889158065907808;81.75410795211792;104.32377815246582;255.93009424209595
Feature;400;1;375;130;327;14;0.9890719513417773;79.49569177627563;145.46609044075012;377.74115777015686
Feature;400;2;370;138;335;10;0.9900368784201761;79.65516781806946;118.25560164451599;1123.7479898929596
Feature;400;3;376;121;294;15;0.991045048886723;79.61892127990723;106.890860080719;167.9831931591034
Feature;400;4;378;115;278;10;0.9908099173553719;79.53618788719177;142.21286940574646;196.45690941810608
Feature;400;5;371;125;291;12;0.9908840298226929;79.83567357063293;132.30024671554565;240.37531852722168
Feature;400;6;373;128;306;12;0.9904069220640792;79.75662589073181;129.1908357143402;1284.5551192760468
Feature;400;7;374;112;328;13;0.9900461277008983;79.8578450679779;121.13709425926208;135.00045943260193
Feature;400;8;365;113;271;11;0.9909500751377526;79.54499101638794;119.56972336769104;240.70310735702515
Feature;400;9;371;131;343;11;0.9897108231341493;79.81590938568115;108.958904504776;148.24245715141296
Feature;500;0;463;164;413;14;0.9896171154184579;79.67827534675598;200.34989953041077;182.49224376678467
Feature;500;1;464;162;376;12;0.9901216404382208;79.87568545341492;211.7191288471222;169.27930116653442
Feature;500;2;461;161;374;11;0.9901264552918504;79.72408080101013;230.90268898010254;364.65241980552673
Feature;500;3;451;167;372;14;0.9902177343010413;79.89704871177673;208.11337876319885;220.2957365512848
Feature;500;4;460;155;347;13;0.9905984990110813;79.8023955821991;194.598548412323;135.76124167442322
Feature;500;5;469;168;401;12;0.9898323994016075;82.06993198394775;169.4473888874054;275.0449721813202
Feature;500;6;453;154;411;12;0.9900281444099379;79.75808095932007;186.19783854484558;563.0372369289398
Feature;500;7;464;169;409;11;0.9895910213015041;79.73730158805847;219.07089591026306;363.65433502197266
Feature;500;8;450;147;382;12;0.9899792765142572;79.75042414665222;200.03515005111694;237.17630290985107
Feature;500;9;460;165;432;13;0.9888677008709993;79.79897093772888;212.7822871208191;168.49761056900024
